Timestamp,Age Group,Favorite Flavor  ,  How often do you buy ice cream?  
23/02/2026 18:10:05,21 - 29,Black Currant,Monthly
23/02/2026 18:10:58,21 - 29,Chocolate,Monthly
23/02/2026 18:12:05,> 35,Butterscotch,Monthly
23/02/2026 18:12:13,21 - 29,Chocolate,Occasionally
23/02/2026 18:12:54,21 - 29,Vanilla,Occasionally
23/02/2026 18:19:19,> 35,Nuts and fruits,Occasionally
23/02/2026 18:23:37,< 12,Vanilla,Weekly
23/02/2026 18:24:18,13 - 19,Pistachio,Occasionally
23/02/2026 18:25:44,30 - 35,Black Currant,Monthly
23/02/2026 18:41:36,20 - 29,Black Currant,Occasionally
23/02/2026 18:42:13,30 - 35,Chocolate,Occasionally
23/02/2026 19:21:49,20 - 29,Chocolate,Weekly
23/02/2026 19:22:09,20 - 29,Butterscotch,Weekly
23/02/2026 19:23:37,20 - 29,Butterscotch,Monthly
23/02/2026 19:23:58,20 - 29,Chocolate,Weekly
23/02/2026 19:24:08,30 - 35,Vanilla,Weekly
23/02/2026 19:24:15,> 35,Chocolate,Weekly
23/02/2026 19:24:17,> 35,Chocolate,Occasionally
23/02/2026 19:24:29,20 - 29,Chocolate,Weekly
23/02/2026 19:24:35,> 35,Pistachio,Occasionally
23/02/2026 19:24:37,20 - 29,Butterscotch,Weekly
23/02/2026 20:55:44,20 - 29,Butterscotch,Monthly
23/02/2026 21:30:00,20 - 29,Butterscotch,Monthly
23/02/2026 23:04:15,20 - 29,Mango,Weekly
23/02/2026 23:06:56,> 35,Pistachio,Weekly
23/02/2026 23:07:24,> 35,Vanilla,Occasionally
23/02/2026 23:07:32,30 - 35,Butterscotch,Monthly
24/02/2026 10:30:31,20 - 29,Chocolate,Occasionally
24/02/2026 10:30:48,> 35,Butterscotch,Occasionally
24/02/2026 10:35:28,> 35,Vanilla,Occasionally
